Date,Last trade price,Max,Min,Avg.Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07/23/2014,395.0,395.0,395.0,395.0,0.0,200,79000.0,79000.0
07/24/2014,400.0,400.0,400.0,400.0,1.27,370,148000.0,148000.0
07/25/2014,412.0,412.0,400.0,410.53,2.63,850,348948.0,348948.0
07/29/2014,412.0,412.0,412.0,412.0,0.36,14,576800.0,576800.0
07/30/2014,412.0,nan,nan,412.0,0.0,0,0.0,0.0
07/31/2014,412.0,nan,nan,412.0,0.0,0,0.0,0.0
08/01/2014,410.0,410.0,410.0,410.0,-0.49,175,717500.0,717500.0
08/04/2014,410.0,nan,nan,410.0,0.0,0,0.0,0.0
08/05/2014,402.0,402.0,402.0,402.0,-1.95,50,20100.0,20100.0
08/06/2014,400.0,400.0,400.0,400.0,-0.5,100,40000.0,40000.0
08/07/2014,400.0,400.0,400.0,400.0,0.0,11,440000.0,440000.0
08/08/2014,400.0,400.0,400.0,400.0,0.0,500,200000.0,200000.0
08/11/2014,400.0,400.0,400.0,400.0,0.0,38,15200.0,15200.0
08/12/2014,400.0,400.0,400.0,400.0,0.0,140,56000.0,56000.0
08/13/2014,400.0,400.0,400.0,400.0,0.0,100,40000.0,40000.0
08/14/2014,400.0,400.0,400.0,400.0,0.0,325,130000.0,130000.0
08/15/2014,400.0,nan,nan,400.0,0.0,0,0.0,0.0
08/18/2014,400.0,nan,nan,400.0,0.0,0,0.0,0.0
08/19/2014,400.0,410.0,400.0,408.82,2.2,340,139000.0,139000.0
08/20/2014,405.0,405.0,405.0,405.0,-0.93,55,22275.0,22275.0
08/21/2014,405.0,405.0,405.0,405.0,0.0,26,10530.0,10530.0
08/22/2014,415.0,415.0,415.0,415.0,2.47,200,83000.0,83000.0
08/25/2014,415.0,nan,nan,415.0,0.0,0,0.0,0.0
08/26/2014,415.0,415.0,415.0,415.0,0.0,677,280955.0,280955.0
08/27/2014,420.0,420.0,415.0,419.53,1.09,3032,1272014.0,1272014.0
08/29/2014,430.0,430.0,421.0,427.0,1.78,600,256200.0,256200.0
09/01/2014,430.0,430.0,429.0,429.92,0.68,1452,624239.0,624239.0
09/02/2014,435.0,435.0,435.0,435.0,1.18,750,326250.0,326250.0
09/03/2014,435.0,435.0,435.0,435.0,0.0,529,230115.0,230115.0
09/04/2014,435.0,nan,nan,435.0,0.0,0,0.0,0.0
09/05/2014,435.0,435.0,430.0,432.82,-0.5,459,198665.0,198665.0
09/09/2014,435.0,435.0,426.0,434.0,0.27,45,19530.0,19530.0
09/10/2014,440.0,441.0,440.0,440.52,1.5,143,629950.0,629950.0
09/11/2014,445.0,445.0,440.0,443.29,0.63,1462,648095.0,648095.0
09/12/2014,445.0,445.0,440.0,441.18,-0.48,916,404125.0,404125.0
09/15/2014,445.0,445.0,440.0,443.31,0.48,533,236285.0,236285.0
09/16/2014,445.0,nan,nan,443.31,0.0,0,0.0,0.0
09/17/2014,440.0,445.0,440.0,441.5,-0.41,614,271080.0,271080.0
09/18/2014,436.0,436.0,436.0,436.0,-1.25,116,50576.0,50576.0
09/19/2014,445.0,445.0,440.0,442.7,1.54,940,416134.0,416134.0
09/22/2014,445.0,445.0,440.0,441.32,-0.31,1899,838060.0,838060.0
09/23/2014,445.0,445.0,441.0,443.0,0.38,100,44300.0,44300.0
09/24/2014,461.0,461.0,455.0,460.2,3.88,1613,742303.0,742303.0
09/25/2014,460.0,461.0,460.0,460.48,0.06,1258,579280.0,579280.0
09/26/2014,460.0,460.0,460.0,460.0,-0.1,542,249320.0,249320.0
09/29/2014,460.0,460.0,451.0,452.05,-1.73,717,324123.0,324123.0
09/30/2014,465.0,465.0,460.0,463.57,2.55,350,162250.0,162250.0
10/01/2014,475.0,475.0,461.0,474.21,2.3,530,251330.0,251330.0
10/02/2014,500.0,500.0,500.0,500.0,5.44,544,272000.0,272000.0
10/03/2014,502.0,502.0,500.0,500.62,0.12,323,161700.0,161700.0
10/06/2014,515.0,515.0,515.0,515.0,2.87,188,96820.0,96820.0
10/07/2014,531.0,531.0,531.0,531.0,3.11,110,58410.0,58410.0
10/08/2014,525.0,566.0,525.0,545.21,2.68,1801,981926.0,981926.0
10/09/2014,552.0,552.0,534.0,549.75,0.83,6168,3390884.0,3390884.0
10/10/2014,552.0,552.0,545.0,550.0,0.05,10517,5784330.0,5784330.0
10/13/2014,550.0,550.0,550.0,550.0,0.0,100,55000.0,55000.0
10/14/2014,530.0,540.0,530.0,536.04,-2.54,1067,571960.0,571960.0
10/15/2014,534.0,535.0,530.0,532.89,-0.59,762,406063.0,406063.0
10/16/2014,530.0,530.0,520.0,528.33,-0.86,720,380400.0,380400.0
10/17/2014,535.0,535.0,530.0,531.37,0.58,971,515960.0,515960.0
10/20/2014,520.0,520.0,520.0,520.0,-2.14,46,23920.0,23920.0
10/21/2014,520.0,520.0,519.0,519.86,-0.03,350,181950.0,181950.0
10/22/2014,540.0,540.0,530.0,536.84,3.27,2928,1571880.0,1571880.0
10/24/2014,535.0,549.0,535.0,539.63,0.52,130,70152.0,70152.0
10/27/2014,545.0,549.0,530.0,541.05,0.26,3226,1745428.0,1745428.0
10/28/2014,549.0,549.0,541.0,547.98,1.28,16,876760.0,876760.0
10/29/2014,536.0,540.0,536.0,538.86,-1.66,280,150880.0,150880.0
10/30/2014,540.0,540.0,539.0,539.37,0.09,859,463317.0,463317.0
10/31/2014,540.0,540.0,540.0,540.0,0.12,1268,684720.0,684720.0
11/03/2014,540.0,540.0,540.0,540.0,0.0,1284,693360.0,693360.0
11/04/2014,540.0,540.0,540.0,540.0,0.0,525,283500.0,283500.0
11/05/2014,540.0,541.0,540.0,540.36,0.07,559,302060.0,302060.0
11/06/2014,580.0,580.0,549.0,551.64,2.09,10468,5774586.0,5774586.0
11/07/2014,565.0,565.0,563.0,564.96,2.41,1022,577386.0,577386.0
11/10/2014,563.0,566.0,563.0,564.2,-0.13,107,603690.0,603690.0
11/11/2014,570.0,570.0,559.0,560.46,-0.66,756,423710.0,423710.0
11/12/2014,580.0,580.0,569.0,572.25,2.1,1399,800573.0,800573.0
11/13/2014,575.0,576.0,575.0,575.23,0.52,452,260002.0,260002.0
11/14/2014,576.0,576.0,575.0,575.28,0.01,266,153025.0,153025.0
11/17/2014,580.0,580.0,575.0,575.51,0.04,390,224450.0,224450.0
11/18/2014,575.0,575.0,574.0,574.67,-0.15,1194,686156.0,686156.0
11/19/2014,570.0,570.0,560.0,562.99,-2.03,428,240960.0,240960.0
11/20/2014,570.0,579.0,569.0,570.33,1.3,6991,3987210.0,3987210.0
11/21/2014,573.0,573.0,573.0,573.0,0.47,329,188517.0,188517.0
11/24/2014,573.0,nan,nan,573.0,0.0,0,0.0,0.0
11/25/2014,570.0,570.0,570.0,570.0,-0.52,310,176700.0,176700.0
11/26/2014,570.0,570.0,570.0,570.0,0.0,20,11400.0,11400.0
11/27/2014,570.0,570.0,570.0,570.0,0.0,100,57000.0,57000.0
11/28/2014,570.0,570.0,570.0,570.0,0.0,778,443460.0,443460.0
12/01/2014,562.0,562.0,562.0,562.0,-1.4,100,56200.0,56200.0
12/02/2014,573.0,573.0,562.0,570.13,1.45,5522,3148265.0,3148265.0
12/04/2014,570.0,570.0,570.0,570.0,-0.02,622,354540.0,354540.0
12/05/2014,575.0,575.0,571.0,571.92,0.34,2658,1520154.0,1520154.0
12/09/2014,560.0,573.0,560.0,570.4,-0.27,500,285200.0,285200.0
12/10/2014,560.0,nan,nan,570.4,0.0,0,0.0,0.0
12/11/2014,560.0,nan,nan,570.4,0.0,0,0.0,0.0
12/12/2014,580.0,581.0,560.0,579.23,1.55,17741,10276138.0,10276138.0
12/15/2014,580.0,nan,nan,579.23,0.0,0,0.0,0.0
12/16/2014,570.0,570.0,570.0,570.0,-1.59,350,199500.0,199500.0
12/17/2014,555.0,570.0,555.0,569.27,-0.13,409,232830.0,232830.0
12/18/2014,555.0,nan,nan,569.27,0.0,0,0.0,0.0
12/19/2014,570.0,570.0,570.0,570.0,0.13,200,114000.0,114000.0
12/22/2014,560.0,560.0,560.0,560.0,-1.75,500,280000.0,280000.0
12/23/2014,566.0,570.0,560.0,562.25,0.4,153,860240.0,860240.0
12/24/2014,570.0,570.0,570.0,570.0,1.38,263,1499100.0,1499100.0
12/25/2014,570.0,570.0,560.0,565.93,-0.71,123,69610.0,69610.0
12/26/2014,581.0,585.0,580.0,580.5,2.57,1491,865530.0,865530.0
12/29/2014,595.0,597.0,595.0,596.0,2.67,1,596000.0,596000.0
12/30/2014,595.0,596.0,594.0,594.91,-0.18,3013,1792458.0,1792458.0
01/02/2015,595.0,nan,nan,594.91,0.0,0,0.0,0.0
01/05/2015,578.0,578.0,578.0,578.0,-2.84,20,11560.0,11560.0
01/08/2015,580.0,580.0,578.0,578.65,0.11,614,355292.0,355292.0
01/09/2015,580.0,580.0,578.0,578.88,0.04,137,79306.0,79306.0
01/12/2015,580.0,580.0,580.0,580.0,0.19,100,58000.0,58000.0
01/13/2015,580.0,580.0,580.0,580.0,0.0,250,145000.0,145000.0
01/14/2015,580.0,580.0,580.0,580.0,0.0,469,272020.0,272020.0
01/15/2015,580.0,580.0,580.0,580.0,0.0,150,87000.0,87000.0
01/16/2015,580.0,580.0,580.0,580.0,0.0,663,384540.0,384540.0
01/20/2015,580.0,580.0,580.0,580.0,0.0,506,293480.0,293480.0
01/21/2015,580.0,580.0,580.0,580.0,0.0,250,145000.0,145000.0
01/22/2015,580.0,580.0,580.0,580.0,0.0,13,7540.0,7540.0
01/23/2015,580.0,580.0,580.0,580.0,0.0,460,266800.0,266800.0
01/26/2015,585.0,586.0,581.0,584.98,0.86,590,345140.0,345140.0
01/27/2015,590.0,595.0,589.0,591.13,1.05,1307,772610.0,772610.0
01/28/2015,590.0,595.0,590.0,590.32,-0.14,310,183000.0,183000.0
01/29/2015,590.0,590.0,590.0,590.0,-0.05,200,118000.0,118000.0
01/30/2015,595.0,595.0,590.0,592.8,0.47,127,75285.0,75285.0
02/02/2015,595.0,nan,nan,592.8,0.0,0,0.0,0.0
02/03/2015,585.0,589.0,585.0,585.22,-1.28,662,387418.0,387418.0
02/04/2015,590.0,590.0,590.0,590.0,0.82,200,118000.0,118000.0
02/05/2015,595.0,595.0,590.0,593.66,0.62,149,88455.0,88455.0
02/06/2015,587.0,590.0,587.0,588.3,-0.9,352,207080.0,207080.0
02/09/2015,582.0,586.0,582.0,584.23,-0.69,1129,659594.0,659594.0
02/10/2015,582.0,582.0,582.0,582.0,-0.38,231,134442.0,134442.0
02/11/2015,580.0,581.0,580.0,580.21,-0.31,380,220480.0,220480.0
02/12/2015,576.0,576.0,576.0,576.0,-0.73,218,125568.0,125568.0
02/13/2015,575.0,575.0,571.0,574.94,-0.18,63,3622100.0,3622100.0
02/16/2015,562.0,563.0,562.0,562.4,-2.18,100,56240.0,56240.0
02/17/2015,560.0,562.0,560.0,561.19,-0.22,740,415280.0,415280.0
02/18/2015,570.0,570.0,569.0,569.86,1.54,74,42170.0,42170.0
02/19/2015,570.0,570.0,570.0,570.0,0.02,277,157890.0,157890.0
02/20/2015,580.0,580.0,579.0,579.09,1.59,85,49223.0,49223.0
02/23/2015,565.0,566.0,565.0,565.98,-2.26,1864,10549900.0,10549900.0
02/24/2015,579.0,579.0,565.0,573.31,1.3,246,141034.0,141034.0
02/25/2015,579.0,nan,nan,573.31,0.0,0,0.0,0.0
02/26/2015,575.0,575.0,575.0,575.0,0.29,340,195500.0,195500.0
02/27/2015,575.0,575.0,575.0,575.0,0.0,100,57500.0,57500.0
03/02/2015,575.0,nan,nan,575.0,0.0,0,0.0,0.0
03/03/2015,580.0,580.0,570.0,576.29,0.22,1302,750335.0,750335.0
03/04/2015,589.0,589.0,580.0,582.25,1.03,700,407575.0,407575.0
03/05/2015,580.0,580.0,580.0,580.0,-0.39,200,116000.0,116000.0
03/06/2015,580.0,nan,nan,580.0,0.0,0,0.0,0.0
03/09/2015,580.0,580.0,569.0,577.33,-0.46,132,76208.0,76208.0
03/10/2015,590.0,590.0,580.0,588.84,1.99,25,1472096.0,1472096.0
03/11/2015,572.0,572.0,572.0,572.0,-2.86,15,8580.0,8580.0
03/12/2015,570.0,570.0,570.0,570.0,-0.35,123,70110.0,70110.0
03/13/2015,575.0,575.0,571.0,574.84,0.85,970,557590.0,557590.0
03/16/2015,575.0,nan,nan,574.84,0.0,0,0.0,0.0
03/17/2015,569.0,569.0,569.0,569.0,-1.02,134,76246.0,76246.0
03/18/2015,569.0,nan,nan,569.0,0.0,0,0.0,0.0
03/19/2015,570.0,570.0,570.0,570.0,0.18,155,88350.0,88350.0
03/20/2015,570.0,nan,nan,570.0,0.0,0,0.0,0.0
03/23/2015,570.0,nan,nan,570.0,0.0,0,0.0,0.0
03/24/2015,570.0,nan,nan,570.0,0.0,0,0.0,0.0
03/25/2015,553.0,553.0,553.0,553.0,-2.98,326,180278.0,180278.0
03/26/2015,553.0,553.0,553.0,553.0,0.0,100,55300.0,55300.0
03/27/2015,537.0,537.0,537.0,537.0,-2.89,40,21480.0,21480.0
03/30/2015,537.0,537.0,537.0,537.0,0.0,500,268500.0,268500.0
03/31/2015,537.0,nan,nan,537.0,0.0,0,0.0,0.0
04/01/2015,521.0,521.0,521.0,521.0,-2.98,35,18235.0,18235.0
04/02/2015,506.0,506.0,506.0,506.0,-2.88,840,425040.0,425040.0
04/03/2015,520.0,520.0,507.0,510.34,0.86,175,89310.0,89310.0
04/06/2015,510.0,519.0,506.0,509.98,-0.07,1059,540070.0,540070.0
04/07/2015,510.0,510.0,510.0,510.0,0.0,80,40800.0,40800.0
04/08/2015,515.0,520.0,515.0,517.15,1.4,653,337700.0,337700.0
04/09/2015,530.0,530.0,520.0,529.7,2.43,135,715100.0,715100.0
04/14/2015,530.0,nan,nan,529.7,0.0,0,0.0,0.0
04/15/2015,526.0,526.0,520.0,523.66,-1.14,362,189566.0,189566.0
04/16/2015,530.0,530.0,525.0,529.4,1.1,525,277935.0,277935.0
04/17/2015,540.0,540.0,539.0,539.75,1.96,1581,853340.0,853340.0
04/20/2015,526.0,530.0,526.0,527.83,-2.21,166,87620.0,87620.0
04/21/2015,516.0,517.0,516.0,516.53,-2.14,190,98140.0,98140.0
04/22/2015,520.0,520.0,520.0,520.0,0.67,200,104000.0,104000.0
04/23/2015,515.0,516.0,515.0,515.66,-0.83,986,508440.0,508440.0
04/24/2015,515.0,515.0,515.0,515.0,-0.13,70,36050.0,36050.0
04/27/2015,525.0,525.0,525.0,525.0,1.94,275,144375.0,144375.0
04/28/2015,515.0,515.0,515.0,515.0,-1.9,9,4635.0,4635.0
04/29/2015,515.0,nan,nan,515.0,0.0,0,0.0,0.0
04/30/2015,515.0,515.0,515.0,515.0,0.0,200,103000.0,103000.0
05/04/2015,510.0,513.0,500.0,509.47,-1.07,1331,678110.0,678110.0
05/05/2015,510.0,nan,nan,509.47,0.0,0,0.0,0.0
05/06/2015,495.0,495.0,495.0,495.0,-2.84,50,24750.0,24750.0
05/07/2015,485.0,485.0,485.0,485.0,-2.02,200,97000.0,97000.0
05/08/2015,485.0,485.0,485.0,485.0,0.0,500,242500.0,242500.0
05/11/2015,490.0,490.0,490.0,490.0,1.03,10,4900.0,4900.0
05/12/2015,473.0,481.0,472.0,477.9,-2.47,1128,539070.0,539070.0
05/13/2015,510.0,510.0,480.0,495.08,3.59,1105,547060.0,547060.0
05/14/2015,510.0,510.0,495.0,508.64,2.74,176,89520.0,89520.0
05/15/2015,520.0,520.0,505.0,519.23,2.08,12,623075.0,623075.0
05/18/2015,505.0,505.0,505.0,505.0,-2.74,70,35350.0,35350.0
05/19/2015,500.0,500.0,498.0,499.32,-1.12,182,90876.0,90876.0
05/20/2015,496.0,496.0,496.0,496.0,-0.66,880,436480.0,436480.0
05/21/2015,496.0,496.0,495.0,495.4,-0.12,260,128805.0,128805.0
05/22/2015,485.0,485.0,485.0,485.0,-2.1,20,9700.0,9700.0
05/26/2015,486.0,499.0,486.0,495.88,2.24,104,51571.0,51571.0
05/27/2015,485.0,485.0,485.0,485.0,-2.19,60,29100.0,29100.0
05/28/2015,485.0,nan,nan,485.0,0.0,0,0.0,0.0
06/01/2015,487.0,490.0,486.0,488.43,0.71,356,173880.0,173880.0
06/02/2015,490.0,490.0,485.0,489.79,0.28,13,636730.0,636730.0
06/03/2015,476.0,480.0,476.0,479.71,-2.06,237,113692.0,113692.0
06/04/2015,467.0,467.0,467.0,467.0,-2.65,135,63045.0,63045.0
06/05/2015,467.0,nan,nan,467.0,0.0,0,0.0,0.0
06/08/2015,470.0,470.0,470.0,470.0,0.64,200,94000.0,94000.0
06/09/2015,480.0,480.0,470.0,475.66,1.2,106,504200.0,504200.0
06/10/2015,471.0,471.0,471.0,471.0,-0.98,51,24021.0,24021.0
06/11/2015,470.0,475.0,470.0,474.51,0.75,590,279960.0,279960.0
06/12/2015,471.0,471.0,471.0,471.0,-0.74,40,18840.0,18840.0
06/15/2015,471.0,nan,nan,471.0,0.0,0,0.0,0.0
06/16/2015,470.0,471.0,470.0,470.05,-0.2,1819,855030.0,855030.0
06/17/2015,460.0,461.0,460.0,460.12,-2.11,12,552150.0,552150.0
06/18/2015,461.0,465.0,460.0,461.75,0.35,597,275665.0,275665.0
06/19/2015,473.0,473.0,473.0,473.0,2.44,148,70004.0,70004.0
06/22/2015,465.0,465.0,465.0,465.0,-1.69,100,46500.0,46500.0
06/23/2015,465.0,nan,nan,465.0,0.0,0,0.0,0.0
06/24/2015,470.0,470.0,460.0,468.41,0.73,270,126470.0,126470.0
06/25/2015,465.0,465.0,464.0,464.3,-0.88,735,341264.0,341264.0
06/26/2015,470.0,470.0,461.0,465.9,0.34,389,181235.0,181235.0
06/29/2015,460.0,460.0,460.0,460.0,-1.27,15,6900.0,6900.0
06/30/2015,465.0,465.0,462.0,462.55,0.55,55,25440.0,25440.0
07/01/2015,470.0,470.0,470.0,470.0,1.61,275,129250.0,129250.0
07/02/2015,461.0,470.0,461.0,463.98,-1.28,245,113675.0,113675.0
07/03/2015,470.0,470.0,465.0,469.0,1.08,651,305319.0,305319.0
07/06/2015,455.0,455.0,455.0,455.0,-2.99,57,25935.0,25935.0
07/07/2015,460.0,460.0,460.0,460.0,1.1,50,23000.0,23000.0
07/08/2015,460.0,460.0,460.0,460.0,0.0,51,23460.0,23460.0
07/09/2015,460.0,460.0,460.0,460.0,0.0,100,46000.0,46000.0
07/10/2015,469.0,469.0,469.0,469.0,1.96,206,96614.0,96614.0
07/13/2015,465.0,465.0,465.0,465.0,-0.85,50,23250.0,23250.0
07/14/2015,478.0,478.0,470.0,470.85,1.26,291,137018.0,137018.0
07/15/2015,483.0,484.0,475.0,479.6,1.86,474,227331.0,227331.0
07/16/2015,505.0,505.0,490.0,490.83,2.34,218,107000.0,107000.0
07/20/2015,500.0,500.0,495.0,497.78,1.42,293,145850.0,145850.0
07/21/2015,490.0,490.0,490.0,490.0,-1.56,200,98000.0,98000.0
07/22/2015,500.0,500.0,500.0,500.0,2.04,506,253000.0,253000.0
07/23/2015,498.0,498.0,498.0,498.0,-0.4,290,144420.0,144420.0
07/24/2015,498.0,nan,nan,498.0,0.0,0,0.0,0.0
07/27/2015,454.0,454.0,454.0,454.0,-8.84,20,9080.0,9080.0
07/28/2015,495.0,495.0,495.0,495.0,9.03,44,21780.0,21780.0
07/29/2015,500.0,500.0,495.0,495.95,0.19,131,64970.0,64970.0
07/30/2015,482.0,482.0,482.0,482.0,-2.81,28,13496.0,13496.0
07/31/2015,482.0,nan,nan,482.0,0.0,0,0.0,0.0
08/04/2015,485.0,485.0,485.0,485.0,0.62,100,48500.0,48500.0
08/05/2015,490.0,490.0,475.0,485.48,0.1,73,35440.0,35440.0
08/06/2015,485.0,485.0,485.0,485.0,-0.1,28,13580.0,13580.0
08/07/2015,480.0,480.0,480.0,480.0,-1.03,831,398880.0,398880.0
08/10/2015,484.0,484.0,484.0,484.0,0.83,38,18392.0,18392.0
08/11/2015,484.0,nan,nan,484.0,0.0,0,0.0,0.0
08/12/2015,475.0,475.0,475.0,475.0,-1.86,50,23750.0,23750.0
08/13/2015,480.0,480.0,480.0,480.0,1.05,100,48000.0,48000.0
08/14/2015,485.0,485.0,480.0,481.62,0.34,222,106920.0,106920.0
08/17/2015,475.0,477.0,475.0,476.54,-1.05,195,92925.0,92925.0
08/18/2015,480.0,480.0,480.0,480.0,0.73,254,1219200.0,1219200.0
08/19/2015,480.0,485.0,476.0,481.9,0.4,63,30360.0,30360.0
08/20/2015,490.0,490.0,490.0,490.0,1.68,246,120540.0,120540.0
08/21/2015,480.0,480.0,480.0,480.0,-2.04,124,59520.0,59520.0
08/24/2015,480.0,480.0,480.0,480.0,0.0,80,38400.0,38400.0
08/25/2015,475.0,476.0,475.0,475.99,-0.84,312,1485100.0,1485100.0
08/26/2015,475.0,476.0,475.0,475.81,-0.04,3715,1767625.0,1767625.0
08/27/2015,475.0,475.0,475.0,475.0,-0.17,48,2280000.0,2280000.0
08/31/2015,461.0,468.0,461.0,465.42,-2.02,32,1489340.0,1489340.0
09/01/2015,460.0,463.0,460.0,460.13,-1.14,615,2829780.0,2829780.0
09/02/2015,460.0,460.0,460.0,460.0,-0.03,50,23000.0,23000.0
09/03/2015,460.0,460.0,460.0,460.0,0.0,205,94300.0,94300.0
09/04/2015,470.0,470.0,470.0,470.0,2.17,224,105280.0,105280.0
09/07/2015,470.0,nan,nan,470.0,0.0,0,0.0,0.0
09/09/2015,460.0,460.0,460.0,460.0,-2.13,20,9200.0,9200.0
09/10/2015,460.0,460.0,460.0,460.0,0.0,4799,2207540.0,2207540.0
09/11/2015,460.0,460.0,460.0,460.0,0.0,800,368000.0,368000.0
09/14/2015,462.0,462.0,460.0,460.28,0.06,726,334160.0,334160.0
09/15/2015,460.0,460.0,460.0,460.0,-0.06,10,4600.0,4600.0
09/16/2015,460.0,470.0,460.0,464.83,1.05,323,150140.0,150140.0
09/17/2015,460.0,nan,nan,464.83,0.0,0,0.0,0.0
09/18/2015,472.0,472.0,470.0,470.06,1.13,6722,3159720.0,3159720.0
09/21/2015,480.0,480.0,480.0,480.0,2.11,55,26400.0,26400.0
09/22/2015,475.0,479.0,475.0,477.26,-0.57,230,109770.0,109770.0
09/23/2015,480.0,480.0,479.0,479.92,0.56,930,446328.0,446328.0
09/24/2015,480.0,480.0,480.0,480.0,0.02,562,269760.0,269760.0
09/25/2015,485.0,485.0,485.0,485.0,1.04,50,24250.0,24250.0
09/28/2015,480.0,480.0,476.0,479.96,-1.04,1465,703140.0,703140.0
09/29/2015,490.0,490.0,480.0,486.6,1.38,303,147440.0,147440.0
09/30/2015,490.0,490.0,488.0,489.5,0.6,600,293700.0,293700.0
10/01/2015,480.0,498.0,480.0,496.07,1.34,204,101198.0,101198.0
10/02/2015,480.0,489.0,480.0,485.21,-2.19,712,345468.0,345468.0
10/05/2015,486.0,486.0,486.0,486.0,0.16,300,145800.0,145800.0
10/06/2015,478.0,478.0,478.0,478.0,-1.65,298,142444.0,142444.0
10/07/2015,478.0,nan,nan,478.0,0.0,0,0.0,0.0
10/08/2015,485.0,485.0,485.0,485.0,1.46,50,24250.0,24250.0
10/09/2015,480.0,480.0,480.0,480.0,-1.03,250,120000.0,120000.0
10/13/2015,480.0,480.0,480.0,480.0,0.0,310,148800.0,148800.0
10/14/2015,480.0,489.0,480.0,485.17,1.08,458,222207.0,222207.0
10/15/2015,487.0,487.0,485.0,486.74,0.32,274,133368.0,133368.0
10/16/2015,480.0,489.0,480.0,484.78,-0.4,409,198275.0,198275.0
10/19/2015,478.0,478.0,478.0,478.0,-1.4,100,47800.0,47800.0
10/20/2015,478.0,nan,nan,478.0,0.0,0,0.0,0.0
10/21/2015,485.0,485.0,485.0,485.0,1.46,50,24250.0,24250.0
10/22/2015,484.0,484.0,484.0,484.0,-0.21,260,125840.0,125840.0
10/26/2015,476.0,480.0,476.0,478.24,-1.19,420,200860.0,200860.0
10/27/2015,475.0,476.0,475.0,475.13,-0.65,152,722200.0,722200.0
10/28/2015,480.0,489.0,480.0,486.43,2.38,70,34050.0,34050.0
10/29/2015,480.0,480.0,480.0,480.0,-1.32,15,720000.0,720000.0
10/30/2015,485.0,485.0,484.0,484.92,1.02,628,304530.0,304530.0
11/02/2015,484.0,484.0,484.0,484.0,-0.19,120,58080.0,58080.0
11/03/2015,484.0,484.0,480.0,483.8,-0.04,410,198360.0,198360.0
11/04/2015,484.0,nan,nan,483.8,0.0,0,0.0,0.0
11/05/2015,485.0,485.0,480.0,481.81,-0.41,480,231270.0,231270.0
11/06/2015,485.0,nan,nan,481.81,0.0,0,0.0,0.0
11/09/2015,480.0,480.0,480.0,480.0,-0.38,50,24000.0,24000.0
11/10/2015,480.0,nan,nan,480.0,0.0,0,0.0,82759254.0
11/11/2015,480.0,481.0,480.0,480.43,0.09,104,499650.0,499650.0
11/12/2015,480.0,480.0,480.0,480.0,-0.09,100,48000.0,48000.0
11/13/2015,480.0,480.0,480.0,480.0,0.0,392,188160.0,188160.0
11/16/2015,480.0,480.0,480.0,480.0,0.0,450,216000.0,216000.0
11/17/2015,470.0,470.0,470.0,470.0,-2.08,317,148990.0,148990.0
11/18/2015,470.0,470.0,470.0,470.0,0.0,800,376000.0,376000.0
11/19/2015,470.0,470.0,470.0,470.0,0.0,100,47000.0,47000.0
11/20/2015,480.0,480.0,479.0,479.95,2.12,999,479470.0,479470.0
11/23/2015,484.0,484.0,484.0,484.0,0.84,10,4840.0,4840.0
11/24/2015,485.0,485.0,484.0,484.9,0.19,500,242450.0,242450.0
11/25/2015,480.0,483.0,480.0,480.09,-0.99,1045,501690.0,501690.0
11/26/2015,475.0,475.0,475.0,475.0,-1.06,40,19000.0,19000.0
11/27/2015,475.0,475.0,475.0,475.0,0.0,58,27550.0,27550.0
11/30/2015,480.0,480.0,475.0,479.07,0.86,1395,668305.0,668305.0
12/01/2015,485.0,485.0,481.0,483.71,0.97,927,448399.0,448399.0
12/03/2015,485.0,487.0,485.0,486.35,0.55,1518,738273.0,738273.0
12/04/2015,485.0,nan,nan,486.35,0.0,0,0.0,0.0
12/07/2015,476.0,480.0,476.0,479.39,-1.43,1185,568080.0,568080.0
12/09/2015,480.0,480.0,475.0,476.25,-0.65,400,190500.0,190500.0
12/10/2015,480.0,480.0,480.0,480.0,0.79,805,386400.0,386400.0
12/11/2015,480.0,480.0,480.0,480.0,0.0,907,435360.0,435360.0
12/14/2015,480.0,480.0,480.0,480.0,0.0,1,480000.0,480000.0
12/15/2015,480.0,487.0,480.0,480.71,0.15,740,355725.0,355725.0
12/16/2015,480.0,480.0,479.0,479.69,-0.21,874,419250.0,419250.0
12/17/2015,480.0,480.0,479.0,479.76,0.01,625,299850.0,299850.0
12/18/2015,480.0,480.0,480.0,480.0,0.05,591,283680.0,283680.0
12/21/2015,480.0,480.0,480.0,480.0,0.0,12,576000.0,576000.0
12/22/2015,480.0,481.0,480.0,480.05,0.01,949,455569.0,455569.0
12/23/2015,480.0,480.0,480.0,480.0,-0.01,855,410400.0,410400.0
12/24/2015,480.0,480.0,480.0,480.0,0.0,851,408480.0,408480.0
12/25/2015,485.0,485.0,485.0,485.0,1.04,169,81965.0,81965.0
12/28/2015,488.0,488.0,486.0,487.0,0.41,500,243500.0,243500.0
12/29/2015,490.0,490.0,490.0,490.0,0.62,2,980000.0,980000.0
12/30/2015,490.0,490.0,490.0,490.0,0.0,274,1342600.0,1342600.0
01/04/2016,490.0,nan,nan,490.0,0.0,0,0.0,0.0
01/05/2016,490.0,nan,nan,490.0,0.0,0,0.0,0.0
01/08/2016,490.0,nan,nan,490.0,0.0,0,0.0,0.0
01/11/2016,490.0,495.0,490.0,490.66,0.13,753,369470.0,369470.0
