Date,Last trade price,Max,Min,1 Day SMA,1 Week SMA,1 Month SMA,1 Day SMA Signals,1 Week SMA Signals,1 Month SMA Signals,1 Day EMA,1 Week EMA,1 Month EMA,1 Day EMA Signals,1 Week EMA Signals,1 Month EMA Signals,1 Day HMA,1 Week HMA,1 Month HMA,1 Day HMA Signals,1 Week HMA Signals,1 Month HMA Signals,1 Day WMA,1 Week WMA,1 Month WMA,1 Day WMA Signals,1 Week WMA Signals,1 Month WMA Signals,1 Day TEMA,1 Week TEMA,1 Month TEMA,1 Day TEMA Signals,1 Week TEMA Signals,1 Month TEMA Signals,1 Day RSI,1 Week RSI,1 Month RSI,1 Day RSI Signals,1 Week RSI Signals,1 Month RSI Signals,1 Day STOCH,1 Week STOCH,1 Month STOCH,1 Day STOCH Signals,1 Week Signals,1 Week STOCH Signals,1 Month Signals,1 Month STOCH Signals,1 Day CCI,1 Week CCI,1 Month CCI,1 Day CCI Signals,1 Week CCI Signals,1 Month CCI Signals,1 Day CMO,1 Week CMO,1 Month CMO,1 Day CMO Signals,1 Week CMO Signals,1 Month CMO Signals,1 Day Williams %R,1 Week Williams %R,1 Month Williams %R,1 Day Williams %R Signals,1 Week Williams %R Signals,1 Month Williams %R Signals
07/23/2014,20000.0,20000.0,20000.0,20000.0,,,Hold,Hold,Hold,20000.0,20000.0,20000.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,20000.0,,,Hold,Hold,Hold,20000.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/24/2014,21000.0,21000.0,20600.0,21000.0,,,Hold,Hold,Hold,21000.0,20250.0,20064.51612903226,Hold,Buy,Buy,,,,Hold,Hold,Hold,21000.0,,,Hold,Hold,Hold,21000.0,,,Hold,Hold,Hold,100.0,,,Sell,Hold,Hold,100.0,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,100.0,,,Sell,Hold,Hold,0.0,,,Sell,Hold,Hold
07/25/2014,22151.0,22161.0,21500.0,22151.0,,,Hold,Hold,Hold,22151.0,20725.25,20199.127991675345,Hold,Buy,Buy,,,,Hold,Hold,Hold,22151.0,,,Hold,Hold,Hold,22151.0,,,Hold,Hold,Hold,100.0,,,Sell,Hold,Hold,98.48714069591529,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,100.0,,,Sell,Hold,Hold,-1.5128593040847238,,,Sell,Hold,Hold
07/29/2014,22000.0,22010.0,21500.0,22000.0,,,Hold,Hold,Hold,22000.0,21043.9375,20315.313282535,Hold,Buy,Buy,,,,Hold,Hold,Hold,22000.0,,,Hold,Hold,Hold,22000.0,,,Hold,Hold,Hold,0.0,,,Buy,Hold,Hold,98.03921568627452,,,Sell,Hold,,Hold,,,,,Hold,Hold,Hold,-100.0,,,Buy,Hold,Hold,-1.9607843137254943,,,Sell,Hold,Hold
07/30/2014,22000.0,22000.0,22000.0,22000.0,,,Hold,Hold,Hold,22000.0,21282.953125,20424.002748177907,Hold,Buy,Buy,,,,Hold,Hold,Hold,22000.0,,,Hold,Hold,Hold,22000.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/31/2014,22000.0,22000.0,22000.0,22000.0,,,Hold,Hold,Hold,22000.0,21462.21484375,20525.679990230947,Hold,Buy,Buy,,,,Hold,Hold,Hold,22000.0,,,Hold,Hold,Hold,22000.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
08/01/2014,22000.0,22000.0,22000.0,22000.0,21593.0,,Hold,Buy,Hold,22000.0,21596.6611328125,20620.797410216048,Hold,Buy,Buy,,,,Hold,Hold,Hold,22000.0,21873.321428571428,,Hold,Buy,Hold,22000.0,21593.0,,Hold,Buy,Hold,,,,Hold,Hold,Hold,,92.5497454881999,,Hold,Hold,,Hold,,,51.51900213244554,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,-7.450254511800091,,Hold,Sell,Hold
08/04/2014,21340.0,21340.0,21340.0,21340.0,21784.428571428572,,Hold,Sell,Hold,21340.0,21532.495849609375,20667.197577298884,Hold,Sell,Buy,,21728.84523809524,,Hold,Sell,Hold,21340.0,21810.071428571428,,Hold,Sell,Hold,21340.0,21446.734375,,Hold,Sell,Hold,0.0,55.61444564390033,,Buy,Hold,Hold,,47.40550928891736,,Hold,Hold,,Hold,,,-71.26787764902417,,Hold,Hold,Hold,-100.0,11.228891287800668,,Buy,Sell,Hold,,-52.59449071108264,,Hold,Hold,Hold
08/05/2014,21340.0,21340.0,21340.0,21340.0,21833.0,,Hold,Sell,Hold,21340.0,21484.37188720703,20710.604185215085,Hold,Sell,Buy,,21310.666666666668,,Hold,Buy,Hold,21340.0,21698.964285714286,,Hold,Sell,Hold,21340.0,21366.68359375,,Hold,Sell,Hold,,55.61444564390033,,Hold,Hold,Hold,,0.0,,Hold,Hold,,Hold,,,-116.6666666666674,,Hold,Buy,Hold,,11.228891287800671,,Hold,Sell,Hold,,-100.0,,Hold,Buy,Hold
08/06/2014,21340.0,21340.0,21340.0,21340.0,21717.14285714286,,Hold,Sell,Hold,21340.0,21448.278915405273,20751.210366814114,Hold,Sell,Buy,21883.01818181818,21136.535714285714,,Sell,Buy,Hold,21340.0,21575.714285714286,,Hold,Sell,Hold,21340.0,21326.658203125,,Hold,Buy,Hold,,55.61444564390034,,Hold,Hold,Hold,,0.0,,Hold,Hold,,Hold,,,-77.77777777777766,,Hold,Hold,Hold,,11.228891287800668,,Hold,Sell,Hold,,-100.0,,Hold,Buy,Hold
08/07/2014,21340.0,21340.0,21340.0,21340.0,21622.85714285714,,Hold,Sell,Hold,21340.0,21421.209186553955,20789.196794761592,Hold,Sell,Buy,21818.61818181818,21167.142857142855,,Sell,Buy,Hold,21340.0,21481.428571428572,,Hold,Sell,Hold,21340.0,21309.98095703125,,Hold,Buy,Hold,,55.61444564390034,,Hold,Hold,Hold,,0.0,,Hold,Hold,,Hold,,,-58.33333333333306,,Hold,Hold,Hold,,11.228891287800675,,Hold,Sell,Hold,,-100.0,,Hold,Buy,Hold
08/08/2014,21340.0,21340.0,21340.0,21340.0,21528.571428571428,,Hold,Sell,Hold,21340.0,21400.906889915466,20824.732485422133,Hold,Sell,Buy,21705.490909090906,21245.714285714286,,Sell,Buy,Hold,21340.0,21410.714285714286,,Hold,Sell,Hold,21340.0,21306.228576660156,,Hold,Buy,Hold,,55.61444564390034,,Hold,Hold,Hold,,0.0,,Hold,Hold,,Hold,,,-46.66666666666649,,Hold,Hold,Hold,,11.228891287800677,,Hold,Sell,Hold,,-100.0,,Hold,Buy,Hold
08/11/2014,20800.0,20800.0,20800.0,20800.0,21357.14285714286,,Hold,Sell,Hold,20800.0,21250.6801674366,20823.136841201354,Hold,Sell,Sell,21923.63636363636,21030.714285714286,,Sell,Sell,Hold,20800.0,21228.571428571428,,Hold,Sell,Hold,20800.0,20996.855361938477,,Hold,Sell,Hold,0.0,32.74053452074182,,Buy,Hold,Hold,,0.0,,Hold,Hold,,Hold,,,-202.22222222222157,,Hold,Buy,Hold,-100.0,-34.518930958516364,,Buy,Buy,Hold,,-100.0,,Hold,Buy,Hold
08/12/2014,20600.0,20800.0,20600.0,20600.0,21157.14285714286,,Hold,Sell,Hold,20600.0,21088.01012557745,20808.740915962557,Hold,Sell,Sell,21778.181818181816,20664.285714285714,,Sell,Sell,Hold,20600.0,21039.285714285714,,Hold,Sell,Hold,20600.0,20715.999557495117,,Hold,Sell,Hold,0.0,27.799935282426837,,Buy,Hold,Hold,0.0,0.0,,Hold,Hold,,Hold,,,-134.6153846153832,,Hold,Buy,Hold,-100.0,-44.40012943514632,,Buy,Buy,Hold,-100.0,-100.0,,Buy,Buy,Hold
08/13/2014,21000.0,21250.0,21000.0,21000.0,21108.571428571428,,Hold,Sell,Hold,21000.0,21066.007594183087,20821.08021170691,Hold,Sell,Buy,21229.09090909091,20624.68253968254,,Sell,Buy,Hold,21000.0,21000.0,,Hold,Hold,Hold,21000.0,20804.870761871338,,Hold,Buy,Hold,100.0,46.60168284556445,,Sell,Hold,Hold,0.0,54.054054054054056,,Hold,Hold,,Hold,,,-12.962962962963301,,Hold,Hold,Hold,100.0,-6.796634308871106,,Sell,Buy,Hold,-100.0,-45.945945945945944,,Buy,Hold,Hold
08/14/2014,21000.0,21000.0,21000.0,21000.0,21060.0,,Hold,Sell,Hold,21000.0,21049.505695637316,20832.623423854853,Hold,Sell,Buy,21116.36363636364,20818.095238095237,,Sell,Buy,Hold,21000.0,20972.85714285714,,Hold,Buy,Hold,21000.0,20870.133316755295,,Hold,Buy,Hold,,46.601682845564454,,Hold,Hold,Hold,,54.054054054054056,,Hold,Hold,,Hold,,,-24.433557868953212,,Hold,Hold,Hold,,-6.796634308871099,,Hold,Buy,Hold,,-45.945945945945944,,Hold,Hold,Hold
08/15/2014,21000.0,21000.0,21000.0,21000.0,21011.428571428572,,Hold,Sell,Hold,21000.0,21037.129271727987,20843.421912638412,Hold,Sell,Buy,21040.0,20992.698412698413,,Sell,Buy,Hold,21000.0,20957.85714285714,,Hold,Buy,Hold,21000.0,20917.267865359783,,Hold,Buy,Hold,,46.60168284556445,,Hold,Hold,Hold,,54.054054054054056,,Hold,Hold,,Hold,,,-11.53295128939777,,Hold,Hold,Hold,,-6.7966343088711,,Hold,Buy,Hold,,-45.945945945945944,,Hold,Hold,Hold
08/18/2014,20500.0,21000.0,20500.0,20500.0,20891.428571428572,,Hold,Sell,Hold,20500.0,20902.84695379599,20821.26566021013,Hold,Sell,Sell,21318.181818181816,20794.04761904762,,Sell,Sell,Hold,20500.0,20830.0,,Hold,Sell,Hold,20500.0,20661.620077699423,,Hold,Sell,Hold,0.0,30.721549885929445,,Buy,Hold,Hold,0.0,0.0,,Hold,Hold,,Hold,,,-93.10344827586088,,Hold,Hold,Hold,-100.0,-38.55690022814112,,Buy,Buy,Hold,-100.0,-100.0,,Buy,Buy,Hold
08/19/2014,20500.0,20500.0,20500.0,20500.0,20771.428571428572,,Hold,Sell,Hold,20500.0,20802.135215346992,20800.538843422382,Hold,Sell,Sell,21126.90909090909,20513.01587301587,,Sell,Sell,Hold,20500.0,20732.14285714286,,Hold,Sell,Hold,20500.0,20526.593145035207,,Hold,Sell,Hold,,30.72154988592944,,Hold,Hold,Hold,,0.0,,Hold,Hold,,Hold,,,-116.66666666666602,,Hold,Buy,Hold,,-38.55690022814112,,Hold,Buy,Hold,,-100.0,,Hold,Buy,Hold
08/20/2014,20500.0,20500.0,20500.0,20500.0,20728.571428571428,,Hold,Sell,Hold,20500.0,20726.601411510244,20781.14924062094,Hold,Sell,Sell,20966.181818181816,20368.650793650795,,Sell,Buy,Hold,20500.0,20664.285714285714,,Hold,Sell,Hold,20500.0,20463.1355759101,,Hold,Buy,Hold,,30.721549885929445,,Hold,Hold,Hold,,0.0,,Hold,Hold,,Hold,,,-83.85416666666646,,Hold,Hold,Hold,,-38.55690022814112,,Hold,Buy,Hold,,-100.0,,Hold,Buy,Hold
08/21/2014,20999.0,21000.0,20800.0,20999.0,20785.571428571428,,Hold,Buy,Hold,20999.0,20794.701058632683,20795.204128322814,Hold,Buy,Buy,20518.454545454544,20623.309523809523,,Buy,Buy,Hold,20999.0,20731.89285714286,,Hold,Buy,Hold,20999.0,20728.846958830254,,Hold,Buy,Hold,100.0,55.01507164533962,,Sell,Hold,Hold,99.5,66.53333333333333,,Hold,Hold,,Hold,,,36.76224685700179,,Hold,Hold,Hold,100.0,10.030143290679224,,Sell,Sell,Hold,-0.5000000000000004,-33.46666666666667,,Sell,Hold,Hold
08/22/2014,20800.0,21000.0,20800.0,20800.0,20757.0,,Hold,Buy,Hold,20800.0,20796.025793974513,20795.513539398766,Hold,Buy,Buy,20708.763636363634,20853.81349206349,,Buy,Sell,Hold,20800.0,20735.5,,Hold,Buy,Hold,20800.0,20770.567731081508,,Hold,Buy,Hold,0.0,47.298276814189336,,Buy,Hold,Hold,0.0,60.0,,Hold,Hold,,Hold,,,29.6001502664882,,Hold,Hold,Hold,-100.0,-5.403446371621329,,Buy,Buy,Hold,-100.0,-40.0,,Buy,Hold,Hold
08/25/2014,21000.0,21000.0,20800.0,21000.0,20757.0,,Hold,Buy,Hold,21000.0,20847.019345480883,20808.706214276266,Hold,Buy,Buy,20592.436363636363,21012.444444444445,,Buy,Sell,Hold,21000.0,20796.25,,Hold,Buy,Hold,21000.0,20911.311597994412,,Hold,Buy,Hold,100.0,54.741766316429064,,Sell,Hold,Hold,100.0,100.0,,Hold,Hold,,Hold,,,58.363364467652566,,Hold,Hold,Hold,100.0,9.483532632858127,,Sell,Sell,Hold,0.0,0.0,,Sell,Sell,Hold
08/26/2014,21500.0,21500.0,21000.0,21500.0,20828.428571428572,,Hold,Buy,Hold,21500.0,21010.26450911066,20853.30581335522,Hold,Buy,Buy,20350.65454545455,21324.250000000004,,Buy,Buy,Hold,21500.0,20982.0,,Hold,Buy,Hold,21500.0,21277.912860043896,,Hold,Buy,Hold,100.0,67.94616352223032,,Sell,Hold,Hold,100.0,100.0,,Hold,Hold,,Hold,,,151.84872768170942,,Hold,Sell,Hold,100.0,35.89232704446065,,Sell,Sell,Hold,0.0,0.0,,Sell,Sell,Hold
08/27/2014,21600.0,21927.0,21600.0,21600.0,20985.571428571428,,Hold,Buy,Hold,21600.0,21157.698381832997,20901.47963184843,Hold,Buy,Buy,20512.509090909094,21656.07142857143,,Buy,Sell,Hold,21600.0,21174.89285714286,,Hold,Buy,Hold,21600.0,21532.861375033208,,Hold,Buy,Hold,100.0,69.98919654911157,,Sell,Hold,Hold,0.0,77.08479327259985,,Hold,Hold,,Hold,,,156.27519329804505,,Hold,Sell,Hold,100.0,39.97839309822314,,Sell,Sell,Hold,-100.0,-22.91520672740014,,Buy,Hold,Hold
08/29/2014,22000.0,22000.0,22000.0,22000.0,21199.85714285714,,Hold,Buy,Hold,22000.0,21368.273786374746,20972.35191366466,Hold,Buy,Buy,20498.0,22011.59126984127,,Buy,Sell,Hold,22000.0,21428.5,,Hold,Buy,Hold,22000.0,21890.982222904535,,Hold,Buy,Hold,100.0,76.86925065557537,,Sell,Hold,Hold,,100.0,,Hold,Hold,,Hold,,,127.57526556514178,,Hold,Sell,Hold,100.0,53.73850131115075,,Sell,Sell,Hold,,0.0,,Hold,Sell,Hold
09/01/2014,22000.0,22000.0,22000.0,22000.0,21414.14285714286,,Hold,Buy,Hold,22000.0,21526.20533978106,21038.651790202428,Hold,Buy,Buy,20847.127272727274,22204.809523809523,,Buy,Sell,Hold,22000.0,21628.535714285714,,Hold,Buy,Hold,22000.0,22069.625918997684,,Hold,Sell,Hold,,76.86925065557537,,Hold,Hold,Hold,,100.0,,Hold,Hold,,Hold,,,92.67232824626828,,Hold,Hold,Hold,,53.73850131115075,,Hold,Sell,Hold,,0.0,,Hold,Sell,Hold
09/02/2014,21800.0,21800.0,21800.0,21800.0,21528.571428571428,,Hold,Buy,Hold,21800.0,21594.654004835793,21087.77102954421,Hold,Buy,Buy,21287.163636363635,22129.376984126982,,Buy,Sell,Hold,21800.0,21725.0,,Hold,Buy,Hold,21800.0,22027.926709185514,,Hold,Sell,Hold,0.0,66.49479195261131,,Buy,Hold,Hold,,83.33333333333333,,Hold,Hold,Sell,Hold,,,45.707837185772775,,Hold,Hold,Hold,-100.0,32.98958390522262,,Buy,Sell,Hold,,-16.666666666666664,,Hold,Sell,Hold
09/03/2014,21800.0,21800.0,21800.0,21800.0,21671.428571428572,,Hold,Buy,Hold,21800.0,21645.990503626846,21133.72128570265,Hold,Buy,Buy,21479.92727272727,21940.873015873018,,Buy,Sell,Hold,21800.0,21792.85714285714,,Hold,Buy,Hold,21800.0,21980.59948264667,,Hold,Sell,Hold,,66.49479195261131,,Hold,Hold,Hold,,83.33333333333333,,Hold,Hold,Sell,Hold,,,32.81016442451459,,Hold,Hold,Hold,,32.98958390522261,,Hold,Sell,Hold,,-16.666666666666664,,Hold,Sell,Hold
09/04/2014,21150.0,21150.0,21150.0,21150.0,21692.85714285714,21280.0,Hold,Sell,Sell,21150.0,21521.992877720135,21134.771525334738,Hold,Sell,Buy,22039.054545454543,21482.93650793651,,Sell,Sell,Hold,21150.0,21662.5,21280.498924731182,Hold,Sell,Sell,21150.0,21559.68969878161,21280.0,Hold,Sell,Sell,0.0,41.63676271415989,,Buy,Hold,Hold,,15.0,53.216103655714946,Hold,Hold,,Hold,,,-140.81022002436657,-17.547697803435373,Hold,Buy,Hold,-100.0,-16.726474571680207,,Buy,Buy,Hold,,-85.0,-46.78389634428506,Hold,Buy,Hold
09/05/2014,21150.0,21150.0,21150.0,21150.0,21642.85714285714,21318.333333333332,Hold,Sell,Sell,21150.0,21428.994658290103,21135.754007571206,Hold,Sell,Buy,21924.545454545456,21089.0873015873,,Sell,Buy,Hold,21150.0,21526.785714285714,21272.11182795699,Hold,Sell,Sell,21150.0,21314.75927573,21256.427108858374,Hold,Sell,Sell,,41.6367627141599,53.7045858779476,Hold,Hold,Hold,,0.0,39.13305237808549,Hold,Hold,,Hold,,,-116.6666666666671,-25.47631266351098,Hold,Buy,Hold,,-16.726474571680214,7.409171755895193,Hold,Buy,Sell,,-100.0,-60.86694762191451,Hold,Buy,Hold
09/09/2014,21500.0,21500.0,21500.0,21500.0,21628.571428571428,21335.0,Hold,Sell,Buy,21500.0,21446.745993717577,21159.253749018226,Hold,Buy,Buy,21581.818181818184,21102.579365079364,,Sell,Buy,Hold,21500.0,21491.071428571428,21283.832258064514,Hold,Buy,Buy,21500.0,21382.109910440096,21299.29378974598,Hold,Buy,Buy,100.0,54.18845465819585,57.20977171094522,Sell,Hold,Hold,,41.1764705882353,60.20469596628537,Hold,Hold,,Hold,,,-27.631578947368187,28.401044432643214,Hold,Hold,Hold,100.0,8.3769093163917,14.41954342189044,Sell,Sell,Sell,,-58.82352941176471,-39.79530403371463,Hold,Hold,Hold
09/10/2014,21000.0,21000.0,21000.0,21000.0,21485.714285714286,21296.633333333335,Hold,Sell,Sell,21000.0,21335.059495288184,21148.979313597698,Hold,Sell,Sell,21881.818181818184,21085.9126984127,,Sell,Sell,Hold,21000.0,21333.928571428572,21262.21935483871,Hold,Sell,Sell,21000.0,21135.803862369336,21246.14623255856,Hold,Sell,Sell,0.0,39.89032519851991,51.45264251622197,Buy,Hold,Hold,,0.0,33.11258278145695,Hold,Hold,,Hold,,,-97.94238683127585,-50.29913582982467,Hold,Hold,Hold,-100.0,-20.21934960296018,2.9052850324439516,Buy,Buy,Sell,,-100.0,-66.88741721854305,Hold,Buy,Hold
09/11/2014,21499.0,21499.0,21010.0,21499.0,21414.14285714286,21279.933333333334,Hold,Buy,Buy,21499.0,21376.04462146614,21171.56129336559,Hold,Buy,Buy,21364.272727272728,21235.412698412696,21580.707347670254,Buy,Buy,Sell,21499.0,21337.25,21275.275268817204,Hold,Buy,Buy,21499.0,21292.959160911923,21290.137345039366,Hold,Buy,Buy,100.0,54.01717776795847,56.02171309823387,Sell,Hold,Hold,100.0,62.375,66.6,Hold,Hold,,Hold,,,-13.801601971657044,9.68903590573701,Hold,Hold,Hold,100.0,8.034355535916951,12.043426196467756,Sell,Sell,Sell,0.0,-37.625,-33.4,Sell,Hold,Hold
09/12/2014,21500.0,21500.0,21499.0,21500.0,21371.285714285714,21263.266666666666,Hold,Buy,Buy,21500.0,21407.033466099605,21192.750887342005,Hold,Buy,Buy,21345.127272727274,21425.440476190473,21597.878817204302,Buy,Buy,Sell,21500.0,21358.714285714286,21289.47311827957,Hold,Buy,Buy,21500.0,21389.051087770502,21328.8440790077,Hold,Buy,Buy,100.0,54.04243026525384,56.03029213566839,Sell,Hold,Hold,100.0,62.5,66.66666666666667,Hold,Hold,,Hold,,,46.8371975806465,43.19540379863442,Hold,Hold,Hold,100.0,8.08486053050768,12.060584271336781,Sell,Sell,Sell,0.0,-37.5,-33.333333333333336,Sell,Hold,Hold
09/15/2014,21500.0,21500.0,21500.0,21500.0,21328.428571428572,21246.6,Hold,Buy,Buy,21500.0,21430.275099574705,21212.573410739296,Hold,Buy,Buy,21330.61818181818,21563.83333333333,21611.80086021505,Buy,Sell,Sell,21500.0,21390.89285714286,21304.74623655914,Hold,Buy,Buy,21500.0,21445.679242881815,21362.638689936684,Hold,Buy,Buy,,54.042430265253834,56.0302921356684,Hold,Hold,Hold,,100.0,66.66666666666667,Hold,Hold,,Hold,,,73.91326780692988,48.38634098131552,Hold,Hold,Hold,,8.084860530507676,12.06058427133679,Hold,Sell,Sell,,0.0,-33.333333333333336,Hold,Sell,Hold
09/16/2014,21000.0,21100.0,21000.0,21000.0,21307.0,21213.266666666666,Hold,Sell,Sell,21000.0,21322.70632468103,21198.858997143216,Hold,Sell,Sell,21652.472727272725,21330.400793650795,21587.66064516129,Sell,Sell,Sell,21000.0,21308.785714285714,21288.836559139785,Hold,Sell,Sell,21000.0,21188.596731881084,21301.379970671413,Hold,Sell,Sell,0.0,39.33956820697314,50.73461894856942,Buy,Hold,Hold,0.0,0.0,33.333333333333336,Hold,Hold,,Hold,,,-87.28207992924212,-36.7929930941552,Hold,Hold,Hold,-100.0,-21.320863586053708,1.4692378971388436,Buy,Buy,Sell,-100.0,-100.0,-66.66666666666667,Buy,Buy,Hold
09/17/2014,21498.0,21498.0,21000.0,21498.0,21356.714285714286,21218.533333333333,Hold,Buy,Buy,21498.0,21366.52974351077,21218.158416682367,Hold,Buy,Buy,21193.781818181815,21269.158730158728,21564.800752688167,Buy,Buy,Sell,21498.0,21356.535714285714,21307.206451612903,Hold,Buy,Buy,21498.0,21335.233602022552,21337.947353053805,Hold,Buy,Buy,100.0,53.91018929400169,55.10646341674546,Sell,Hold,Hold,100.0,99.6,66.53333333333333,Hold,Hold,,Hold,,,6.884695346233404,23.64721351269373,Hold,Hold,Hold,100.0,7.820378588003373,10.212926833490927,Sell,Sell,Sell,0.0,-0.40000000000000036,-33.46666666666667,Sell,Sell,Hold
09/18/2014,21000.0,21000.0,21000.0,21000.0,21285.285714285714,21207.2,Hold,Sell,Sell,21000.0,21274.89730763308,21204.083680122218,Hold,Sell,Sell,21560.98181818182,21145.80555555556,21507.698530465947,Sell,Sell,Sell,21000.0,21267.35714285714,21293.107526881722,Hold,Sell,Sell,21000.0,21133.820800092184,21279.554486573525,Hold,Sell,Sell,0.0,42.109668400813234,50.473004941710236,Buy,Hold,Hold,,0.0,33.333333333333336,Hold,Hold,,Hold,,,-81.50455198850011,-40.939471463587736,Hold,Hold,Hold,-100.0,-15.780663198373539,0.9460098834204651,Buy,Buy,Sell,,-100.0,-66.66666666666667,Hold,Buy,Hold
09/19/2014,21000.0,21000.0,21000.0,21000.0,21285.285714285714,21195.866666666665,Hold,Sell,Sell,21000.0,21206.172980724812,21190.91699108208,Hold,Sell,Sell,21459.272727272728,21001.523809523813,21428.94770609319,Sell,Sell,Sell,21000.0,21196.035714285714,21279.739784946236,Hold,Sell,Sell,21000.0,21025.04809305668,21228.39447280255,Hold,Sell,Sell,,42.109668400813234,50.473004941710236,Hold,Hold,Hold,,0.0,33.333333333333336,Hold,Hold,,Hold,,,-81.50455198850011,-38.576421139852236,Hold,Hold,Hold,,-15.780663198373537,0.9460098834204671,Hold,Buy,Sell,,-100.0,-66.66666666666667,Hold,Buy,Hold
09/22/2014,20605.0,20605.0,20516.0,20605.0,21157.571428571428,21171.366666666665,Hold,Sell,Sell,20605.0,21055.87973554361,21153.115894883238,Hold,Sell,Sell,21614.38181818182,20709.345238095237,21315.599247311828,Sell,Sell,Sell,20605.0,21025.964285714286,21241.61935483871,Hold,Sell,Sell,20605.0,20743.602910075246,21112.080481449317,Hold,Sell,Sell,0.0,34.060625041476,47.11070390168209,Buy,Hold,Hold,100.0,9.044715447154472,7.0,Hold,Hold,Buy,Hold,,,-140.4522613065322,-114.95034542314343,Hold,Buy,Buy,-100.0,-31.878749917047998,-5.778592196635833,Buy,Buy,Buy,0.0,-90.95528455284553,-93.0,Sell,Buy,Buy
09/23/2014,20500.0,20500.0,20500.0,20500.0,21014.714285714286,21143.366666666665,Hold,Sell,Sell,20500.0,20916.909801657708,21110.979385535935,Hold,Sell,Sell,21461.127272727274,20443.075396825396,21179.851433691754,Sell,Buy,Sell,20500.0,20861.571428571428,21198.305376344088,Hold,Sell,Sell,20500.0,20537.05916567504,20991.546114070334,Hold,Sell,Sell,0.0,32.15453392457642,46.26322518646259,Buy,Hold,Hold,,0.0,0.0,Hold,Hold,,Hold,,,-126.34910642465017,-120.47094807629873,Hold,Buy,Buy,-100.0,-35.69093215084716,-7.473549627074822,Buy,Buy,Buy,,-100.0,-100.0,Hold,Buy,Buy
09/24/2014,20800.0,20800.0,20601.0,20800.0,20914.714285714286,21143.366666666665,Hold,Sell,Sell,20800.0,20887.682351243282,21090.916199372325,Hold,Sell,Sell,21048.32727272727,20476.436507936505,21052.493548387094,Sell,Buy,Sell,20800.0,20807.89285714286,21176.152688172042,Hold,Sell,Sell,20800.0,20611.542251275147,20941.04890942446,Hold,Buy,Sell,100.0,42.82070583977027,48.97614932423479,Sell,Hold,Hold,100.0,30.060120240480963,20.0,Hold,Hold,,Hold,,,-41.35760333712593,-75.5872829334765,Hold,Hold,Hold,100.0,-14.358588320459456,-2.047701351530422,Sell,Buy,Buy,0.0,-69.93987975951903,-80.0,Sell,Hold,Hold
09/25/2014,20500.0,20503.0,20500.0,20500.0,20843.285714285714,21140.033333333333,Hold,Sell,Sell,20500.0,20790.761763432463,21052.79257360637,Hold,Sell,Sell,21133.70909090909,20506.226190476187,20925.579032258065,Sell,Sell,Sell,20500.0,20704.214285714286,21134.645161290322,Hold,Sell,Sell,20500.0,20495.89020098046,20843.24161030295,Hold,Buy,Sell,0.0,36.18401879322405,46.54526221593675,Buy,Hold,Hold,0.0,0.0,0.0,Hold,Hold,,Hold,,,-77.86287381473377,-116.61386191540353,Hold,Hold,Buy,-100.0,-27.63196241355191,-6.909475568126493,Buy,Buy,Buy,-100.0,-100.0,-100.0,Buy,Buy,Buy
09/26/2014,21000.0,21000.0,21000.0,21000.0,20772.14285714286,21140.033333333333,Hold,Buy,Sell,21000.0,20843.071322574346,21049.38660111564,Hold,Buy,Sell,20637.236363636366,20736.333333333332,20838.128494623656,Buy,Buy,Buy,21000.0,20743.39285714286,21125.61075268817,Hold,Buy,Sell,21000.0,20733.78473869837,20849.258539016646,Hold,Buy,Buy,100.0,50.96227967281021,50.75910294637648,Sell,Hold,Hold,,100.0,33.333333333333336,Hold,Hold,,Hold,,,77.77777777777817,-23.607477437182713,Hold,Hold,Hold,100.0,1.9245593456204126,1.5182058927529636,Sell,Sell,Sell,,0.0,-66.66666666666667,Hold,Sell,Hold
09/29/2014,21000.0,21000.0,21000.0,21000.0,20772.14285714286,21140.033333333333,Hold,Buy,Sell,21000.0,20882.30349193076,21046.2003687856,Hold,Buy,Sell,20658.945454545457,20974.18650793651,20784.825268817207,Buy,Buy,Buy,21000.0,20800.35714285714,21116.57634408602,Hold,Buy,Sell,21000.0,20876.882835173503,20855.551826286224,Hold,Buy,Buy,,50.962279672810205,50.75910294637648,Hold,Hold,Hold,,100.0,33.333333333333336,Hold,Hold,,Hold,,,77.77777777777817,-23.607477437182713,Hold,Hold,Hold,,1.9245593456204089,1.5182058927529647,Hold,Sell,Sell,,0.0,-66.66666666666667,Hold,Sell,Hold
